sku_produto_final,produto_final,sku_item,descricao_item,qtd_padrao,unidade
00504020,Chocolates Sortidos 1,0140106802,AÇÚCAR DEMERARA orgânico,0.03515,KG
00504020,Chocolates Sortidos 1,03001001,Leite em Pó integral,0.00665,KG
00504020,Chocolates Sortidos 1,9990107001,MANTEIGA DE CACAU desodorizada,0.0152,KG
00504020,Chocolates Sortidos 1,9990307005,Manteiga de Cacau Yanomami terc,0.0152,KG
00504020,Chocolates Sortidos 1,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.030583,KG
00504021,Chocolates Sortidos 2,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.0418,KG
00504021,Chocolates Sortidos 2,0210101001,Amêndoa de Cupuaçu - Sakaguchi (PA),0.026517,KG
00504021,Chocolates Sortidos 2,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.0418,KG
00504021,Chocolates Sortidos 2,0210303001,Nibs de Cupuaçu - Sakaguchi,0.024106,KG
00504021,Chocolates Sortidos 2,0050303003,Nibs de Cacau - Sakaguchi(PA),0.038,KG
00504021,Chocolates Sortidos 2,0320305032,Massa de Chocolate - Chocolate - Sakaguc,0.095,KG
00504021,Chocolates Sortidos 2,0050108008,Biscoito de castanha do Pará,0.050341,KG
00504021,Chocolates Sortidos 2,0210305004,Massa  de Cupuaçu - Sakaguchi,0.04464,KG
00504021,Chocolates Sortidos 2,9990111001,Flor de Sal,1.9e-05,KG
00504021,Chocolates Sortidos 2,0110109014,Castanha do Pará - Acará-Açu (PA),0.058522,KG
00504021,Chocolates Sortidos 2,0210305004,Massa  de Cupuaçu - Sakaguchi,0.031211,KG
00504021,Chocolates Sortidos 2,9990111001,Flor de Sal,0.005267,KG
00504021,Chocolates Sortidos 2,0050305011,Disco Sakaguchi ao Leite,0.095,KG
00504021,Chocolates Sortidos 2,0050308012,BISCOITO DE CASTANHA DO PARÁ COM COBERTU,0.095,KG
00504021,Chocolates Sortidos 2,0050309013,Castanha coberta com cupulate,0.095,KG
00504021,Chocolates Sortidos 2,0080305005,Folha Cupulate Kunkuni,0.095,KG
00504021,Chocolates Sortidos 2,0190212040,Luva Embalagem Mix 2,1,UN
00504021,Chocolates Sortidos 2,0190212044,Caixa para transporte MIX 6 unid,0.1667,UN
00504021,Chocolates Sortidos 2,0190213035,Base da Embalagem Mix 1,1,UN
00504021,Chocolates Sortidos 2,0190213036,Colmeia Embalagem  Mix 1,1,UN
00504021,Chocolates Sortidos 2,0190214016,Cartão Surpresa - Prima Stampa,1,UN
00504021,Chocolates Sortidos 2,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00504021,Chocolates Sortidos 2,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
00504021,Chocolates Sortidos 2,9990115003,Filme termo encolhivel,0.22,M
00504021,Chocolates Sortidos 2,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504021,Chocolates Sortidos 2,0080301006,Amêndoa de Cupuaçu Aprovada - Santa Bárb,0.06061,KG
00504021,Chocolates Sortidos 2,0080302002,Amêndoa de Cupuaçu Torrada - Santa Bárba,0.06061,KG
