sku,descricao,categoria_produto,unidade
05104114,Bombom NM Chocolate Leite Pistache 10g,Produto em Processo,PC
05104115,Bombom NM Choc Lt  Doce de Cupuaçu 10g,Produto em Processo,PC
05104116,Bombom NM Chocolate Intenso Taperebá 10g,Produto em Processo,PC
05104117,Bombom NM Chocolate LT Maracujá 9g,Produto em Processo,PC
05104118,Bombom NM Choc Lt Castanha do Pará 8g,Produto em Processo,PC
05104119,Bombom Mini Lua Cheia Choco ao Leite 10g,Produto Acabado,PC
05104120,Bombom Mini Lua Cheia Choco Intenso 10g,Produto Acabado,PC
05104121,Poltrona Ilustre,Produto Acabado,PC
05104122,Teste Industrial,Produto Acabado,PC
05104123,Língua de Onça Moju Intenso 5G,Produto Acabado,PC
05104124,Gotas de Moju ao leite 350g,Produto Acabado,PC
05104125,Gotas de Moju Intenso 350g,Produto Acabado,PC
05104126,Gotas de Paiter ao Leite 350g,Produto Acabado,PC
05104127,Gotas de Paiter Intenso 350g,Produto Acabado,PC
05104128,Língua de Onça ao Leite Zero Açúcar 11g,Produto Acabado,PC
05104129,Língua de Onça Intenso Zero Açúcar 11g,Produto Acabado,PC
05104130,"Gotas de Moju ao Leite 5,7Kgs",Produto Acabado,KG
05104131,Gotas de Moju Intenso 5Kgs,Produto Acabado,KG
05304001,Suco de Maracuja 300ml,Produto Local,UN
05304002,Suco de Cupuacu 300ml,Produto Local,UN
05304003,Suco de Acaí 300ml,Produto Local,UN
05304005,Cafe Expresso,Produto Local,UN
05304006,Cafe Expresso com Leite Pequeno,Produto Local,UN
05304007,Macchiato,Produto Local,UN
05304008,Cappuccino Lingua de Onca Pequeno,Produto Local,UN
05304009,Cappuccino Língua de Onça,Produto Local,UN
05304010,Cafe Carioca,Produto Local,UN
05304011,Latte Gelado,Produto Local,UN
05304012,Cafe Canela,Produto Local,UN
05304014,Chocolate Quente P,Produto Local,UN
05304017,Suco de Acerola 300ml,Produto Local,PC
05304018,Suco de Abacaxi c hortela 300ml,Produto Local,PC
05304025,Chocolate Quente G,Produto Local,PC
05304027,Cafe Expresso Cápsula,Produto Local,PC
05304028,Cafe Expresso Duplo Cápsula,Produto Local,PC
05304029,X-Caboquinho,Produto Local,UN
05304030,Cafe Coado Pequeno,Produto Local,PC
05304031,Cafe Coado Grande,Produto Local,PC
05304032,Suco de Morango 300ml,Produto Local,PC
05304033,Suco Cajá/Tapereba 300ml,Produto Local,UN
05304034,Suco Frutas Vermelhas 300ml,Produto Local,UN
05304035,Suco Limão 300ml,Produto Local,UN
05304036,Suco de Coco 300ml,Produto Local,UN
05304037,Chá de Cacau,Produto Local,PC
05304038,Combo Magia do Cacau,Produto Local,PC
05304039,Combo Formigueiro,Produto Local,PC
05304040,Combo Essência da Amazônia,Produto Local,PC
05304041,Combo Cremosos da Selva,Produto Local,PC
05304042,Combo Encanto da Floresta,Produto Local,PC
05304043,Fatia de Bolo de Chocolate,Produto Local,UN
05304044,Café Expresso Duplo,Produto Local,PC
05304045,Resgate Rastreabilidade,Produto Local,PC
05004150,Caixa para 4 bombons,Produto Local,PC
05004151,Caixa Simples SSAL 216g,Produto Acabado,PC
05004152,CAIXA Dupla SSAL 231g,Produto Acabado,PC
05004153,CAIXA Tripla SSAL,Produto Acabado,PC
05004154,CAIXA Circular SSAL,Produto Acabado,PC
05104027,Língua de Onça Chocolate Intenso 11g,Produto Acabado,PC
05104028,Língua de Onça Cupulate 11g,Produto Acabado,PC
05104036,Bombom SF Açaí 10g,Produto Acabado,PC
05104039,Bombom SF Ganache de Taperebá Int 10g,Produto Acabado,PC
